IdP,Nazwa,X,Y,Szkola,Praca,Zakupy,Rozrywka,Restauracje,Spotkania,Zdrowie,Kultura,Osiedle
97,Byków - Jaśminowa,,,0,1,0,0,0,0,0,0,
98,Byków - Ogrodowa,,,0,0,0,0,0,0,0,0,
99,Bystrzycka,,,0,0,0,0,0,0,0,0,
100,Bzowa (Centrum Historii Zajezdnia),,,0,0,0,0,0,0,0,0,
101,Bąków,,,0,0,0,0,0,0,0,0,
102,Błonie,,,0,1,1,1,1,1,0,0,
103,C.h. Aleja Bielany,51.04792328230276,16.961225593982483,0,1,1,1,1,1,0,0,
104,C.h. Korona,51.1419571122646,17.092981210400584,0,0,0,0,0,0,0,0,
105,Ceglana,,,0,0,0,0,0,0,0,0,
106,Cesarzowice Skrz.,,,0,0,0,0,0,0,0,0,
107,Chachaja,,,0,0,0,0,0,0,0,0,
108,Chełmońskiego,51.10381514447863,17.090812423137496,0,0,0,1,1,0,0,0,
109,Chińska,,,0,0,0,1,1,0,0,0,
110,Chociebuska (C. K. Nowy Pafawag),,,0,1,0,1,1,0,0,0,
111,Chopina,51.11685473637358,17.081731549359084,0,1,0,1,1,0,0,0,
112,Chwałkowska,,,0,1,0,0,0,0,0,0,
113,Chłodna,,,0,1,0,0,0,0,0,0,
114,Ciechocińska,,,0,1,0,0,0,0,0,0,
115,Cynamonowa,51.17596381345519,16.998301913759743,0,1,0,0,0,1,0,0,
116,Czajkowskiego,,,0,0,0,0,0,1,0,0,
117,Częstochowska,,,0,0,1,1,0,0,0,0,
118,DH Astra,51.12805420242871,16.976129736725355,0,0,1,1,0,0,0,0,
119,Dworzec Autobusowy,51.09729900567407,17.032717005635604,0,0,0,0,0,0,0,0,
120,Dworzec Główny,51.09991056706695,17.035898001055422,0,0,0,0,0,0,0,0,
121,Dworzec Nadodrze,51.12455339109722,17.035028614190917,0,0,0,0,0,0,0,0,
122,Damrota,,,0,0,0,0,0,0,0,0,
123,Daszyńskiego,51.126555244430754,17.04811148017275,0,0,0,0,0,0,0,0,
124,Dembowskiego (Kosiby),,,0,0,0,0,0,0,0,0,
125,Dobroszycka,,,0,0,0,0,0,0,0,0,
126,Dobroszów - Skrzy. Węgierska,,,1,1,1,0,0,0,0,0,
127,Dobroszów Oleśnicki,,,1,1,1,0,0,0,0,0,
128,Dolmed,,,0,0,0,0,0,0,0,0,
129,Dolnobrzeska,,,0,0,0,0,0,0,0,0,
130,Domaszczyn - Kościół,51.18806195344532,17.164896360316153,0,0,0,0,0,0,0,0,
131,Domaszczyn - Stawowa,,,0,1,1,1,1,0,0,0,
132,Domaszczyn - Trzebnicka,,,0,1,1,1,1,1,0,0,
133,Domaszczyn - Wrocławska Skrzyżowanie,,,0,1,1,1,1,1,0,0,
134,Domaszczyn - Wrocławska Sklep,,,0,1,0,1,1,1,0,0,
135,Domaszczyn - Skrzy.,,,0,1,0,1,1,1,0,0,
136,Drukarska,51.08992603209225,17.020808262939752,0,0,0,1,1,0,0,0,
137,Drzewieckiego,,,0,0,0,0,1,0,0,0,
138,Dubois,51.117176742277856,17.034137253809458,1,1,1,0,1,0,0,0,
139,Dworska,51.14354654875148,16.954555957282555,0,0,0,1,1,0,0,0,
140,Dworzec Główny (Dworcowa),,,0,1,1,1,1,1,0,0,
141,Dworzec Główny (Stawowa),,,0,1,1,1,1,1,0,0,
142,Dworzec Świebodzki,51.10891124958224,17.01813593209831,0,1,1,1,1,1,0,0,
143,Dyrekcyjna,51.09429978719772,17.032230222300967,0,0,0,0,0,0,0,0,
144,Działdowska,,,0,0,0,0,0,0,0,0,
145,Działkowa,,,0,0,0,0,0,0,0,0,
146,Dzielna,,,0,0,0,0,0,0,0,0,
147,Dąbrowica,,,0,0,0,0,0,0,0,0,
148,Długa (Ogrody Działkowe),,,0,1,0,1,0,0,0,0,
149,Długołęka - Broniewskiego (Na Wys. Nr 11),,,0,1,0,1,0,0,0,0,
150,Długołęka - Kasztanowa,,,0,1,1,1,0,0,0,0,
151,Długołęka - Kościół,,,0,0,1,1,0,0,0,0,
152,Długołęka - Nowy Urząd,,,0,0,1,0,1,1,0,0,
153,Długołęka - Parkowa/Skrzy.,,,0,1,1,1,0,0,0,0,
154,Długołęka - Selgros Pętla,,,0,1,1,1,0,0,0,0,
155,Długołęka - Wiejska,,,0,1,1,1,0,0,0,0,
156,EPI,51.098237988398594,17.030786279652435,0,1,0,1,1,1,0,0,
157,Eluarda,,,0,1,0,0,1,1,0,0,
158,FAT,51.09456985835426,16.97989446837951,0,0,0,0,1,1,0,0,
159,Fabryczna,51.112419642527264,16.98308283428756,0,0,0,1,0,0,0,0,
160,Ferma - Stadnina Koni,,,0,0,0,1,0,0,0,0,
161,Fieldorfa,51.14650758598321,16.907923020092028,0,0,0,1,1,1,0,0,
162,Fieldorfa (Szpital),,,0,1,0,1,0,0,1,0,
163,Fiołkowa,51.09219529426615,16.977602768379565,0,0,1,1,0,0,1,0,
164,Gaj,,,0,0,1,1,0,0,0,0,
165,Gaj - Pętla,51.07684951418592,17.050125422240534,0,0,1,1,0,0,0,0,
166,Galeria Dominikańska,51.107771408106736,17.03866833093261,0,0,0,0,0,0,0,0,
167,Gałów (Pętla),,,0,1,0,0,0,0,0,0,
168,Giełdowa (Centrum Hurtu),51.06811477502571,16.969519320359183,0,1,0,0,0,0,0,1,
169,Grabiszyńska (Cmentarz II),51.08764419868628,16.975478844221627,0,0,1,1,1,0,0,0,
170,Grabiszyńska (Cmentarz),,,0,1,1,1,1,0,0,0,
171,Gagarina,51.09538823648097,16.93472053855083,0,1,1,1,1,0,0,0,
172,Gajowa,,,0,1,0,0,0,0,0,0,
173,Gajowicka,51.08888659802636,17.00669785900586,0,1,0,0,0,0,0,0,
174,Gajowicka (Szkoła),,,1,0,0,1,1,0,0,0,
175,Gazowa,51.07821989511504,17.06964401037991,0,0,1,1,1,0,0,0,
176,Gałczyńskiego,,,0,0,1,1,0,0,0,0,
177,Gałowska,,,0,0,0,0,0,0,0,0,
178,Gałów Przedszkole,,,1,1,0,0,0,0,0,0,
179,Gałów Przy Posesji Nr 2,,,0,0,0,0,0,0,0,0,
180,Glinianki,51.13801310773433,16.935572172202185,0,0,0,0,0,0,0,0,
181,Godebskiego (Awf Wrocław),,,0,0,0,1,1,0,0,0,
182,Godzieszowa (Na Wys. Nr 3),,,0,0,0,0,0,0,0,0,
183,Godzieszowa (Na Wys. Nr 8),,,0,1,1,1,1,0,0,0,
184,Godzieszowa - Transformator,,,0,1,1,1,1,0,0,0,
185,Gorlicka,,,0,1,1,1,1,0,0,0,
186,Gospodarska,,,0,0,0,0,0,0,0,0,
187,Grabiszyńska,51.10229804470878,17.01319260039603,0,0,0,0,0,0,0,0,
188,Grabowa,,,0,1,0,0,0,0,0,0,
189,Graniczna,51.10852773211649,16.909633339581077,0,1,0,1,1,1,0,0,
190,Graniczna (Strachowicka),,,0,1,0,1,1,1,0,0,
191,Grochowa,,,0,1,1,1,1,1,0,0,
192,Gromadzka,,,0,1,1,1,1,1,0,0,
193,Grota-Roweckiego,51.05070975916696,17.03024185272085,0,1,1,1,1,1,0,0,
194,Grudziądzka,,,0,1,1,0,0,0,0,0,
195,Grunwaldzka,51.11508503101916,17.067225347131597,0,0,0,1,1,0,0,0,
196,Grzybowa,,,1,0,0,1,1,0,0,0,
197,Gwiaździsta,,,0,0,0,0,0,0,0,0,
198,Góra Kapliczna,51.15140923758712,16.992914247199728,0,0,0,1,1,0,0,0,
199,Górnickiego,,,0,0,0,1,1,0,0,0,
200,Górnicza,51.14038812055504,16.959001406086617,0,0,0,0,0,1,0,0,
201,Gądowianka,,,0,0,0,0,0,1,0,0,
202,Gąsiorowskiego,,,0,1,0,0,0,0,0,0,
203,Gąsiorów,,,0,1,0,0,0,0,0,0,
204,Gęsia,,,0,1,0,1,1,0,0,0,
205,Głogowska,,,0,1,0,1,1,1,0,0,
206,Głoska - Ul. Średzka,,,0,1,0,0,0,0,0,0,
207,Głubczycka,,,0,1,0,0,0,0,0,0,
208,Główna,,,0,1,0,0,0,0,0,0,
209,Hala Stulecia,51.10711908745529,17.073260255577743,0,1,1,1,1,1,0,0,
210,Hala Targowa,51.11270585316793,17.0394944195422,0,0,1,1,1,1,0,0,
211,Halicka,,,0,0,0,0,0,0,0,0,
212,Hallera,51.08638626845392,17.012038690891746,0,0,0,1,1,0,0,0,
213,Hartmana,,,1,1,1,1,1,0,0,0,
214,Hermanowska,,,1,1,1,0,0,0,0,0,
215,Hippiczna,,,0,0,0,0,0,0,0,0,
216,Hubska (Dawida),51.09326802569582,17.042821476199666,0,0,0,1,1,0,0,0,
217,Husarska,,,0,0,0,0,0,0,0,0,
218,Hutmen,,,0,0,0,1,1,1,0,0,
219,Hynka,,,0,0,0,1,1,1,0,0,
220,Iwiny - Pętla,51.04229666798833,17.072355934029353,0,0,0,0,0,0,0,0,
221,Inflancka,,,0,0,0,0,0,0,0,0,
222,Inowrocławska,51.11553448781732,17.014584755202133,0,1,1,1,1,0,0,0,
223,Inżynierska,51.09464966222213,16.99164064160341,0,1,1,1,1,0,0,0,
224,Irysowa,51.151021361918744,17.017640526393667,0,0,0,0,0,1,0,0,
225,Iwiny - Brochowska/Polna,,,0,0,1,1,0,1,0,0,
226,Iwiny - Kolejowa,,,0,0,1,1,0,1,0,0,
227,Iwiny - Kościuszki 21,,,0,0,0,0,0,1,0,0,
228,Iwiny - Słoneczna,,,0,0,0,0,0,0,0,0,
229,Iwiny - Rondo,,,0,0,0,0,0,0,0,0,
230,Janówek (Woś),51.19172999743153,16.90617532388059,0,0,0,0,0,1,0,0,
231,Jarnołtów,,,0,0,0,0,0,1,0,0,
232,Jagodzińska,,,0,1,0,0,0,1,0,0,
233,Jaksonowice - Skrzy.,,,0,1,0,0,0,1,0,0,
234,Januszkowice - Wrocławska,,,0,1,1,1,1,1,0,0,
235,Janówek,,,0,1,0,1,1,0,0,0,
236,Jarnołtowska (Samotworska),51.120121020123925,16.85006911808537,0,1,0,1,1,0,0,0,
237,Jarocińska,,,0,1,0,0,0,0,0,0,
238,Jarzębinowa,,,0,1,0,0,0,0,0,0,
239,Jasińskiej,,,0,1,0,0,0,0,0,0,
240,Jastrzębia,51.08399812795594,17.01040773549541,0,1,1,1,1,1,0,0,
241,Jaszkotle - Kościół,,,0,0,0,0,0,0,0,0,
242,Jaworowa,,,0,0,0,0,0,0,0,0,
243,Jedności Narodowej,51.12132203646591,17.043400309479193,0,0,0,0,0,0,0,0,
244,Jeleniogórska,51.14526469994408,16.878219006010855,0,0,1,1,1,0,0,0,
245,Jerzmanowo (Cmentarz I),,,0,1,1,1,1,0,0,0,
246,Jerzmanowo (Cmentarz II),,,0,1,1,1,1,0,0,0,
247,Jerzmanowo (Cmentarz),,,0,1,1,1,1,0,0,0,
248,Jerzmanowska Nr 17,,,0,1,0,0,0,0,0,0,
249,Jerzmanowska Nr 9,,,0,1,0,0,0,0,0,0,
250,Joannitów,,,0,1,1,1,1,0,0,0,
251,Jordanowska,,,0,1,1,1,1,0,0,0,
252,Jutrosińska,,,0,1,1,1,1,0,0,0,
253,Jędrzejowska,,,0,1,1,1,1,0,0,0,
254,Kamieńskiego (Pętla),51.150701041129885,17.043151260506015,0,1,1,1,1,0,0,0,
255,Karłowice,51.13411347002424,17.03692672048272,0,1,0,0,0,0,0,0,
256,Kiełczowska (Lzn),,,0,1,0,1,1,0,0,0,
257,Klecina,51.06557363255986,16.9875943223411,0,1,0,1,1,0,0,0,
258,Klecina (Stacja Kolejowa),51.05816512564313,16.987906208250404,0,1,0,1,1,0,0,0,
259,Kminkowa,,,0,1,0,1,1,0,0,0,
260,Koszarowa (Szpital),51.14171753268457,17.064723506372715,0,1,0,1,1,0,1,0,
261,Koszarowa (Uniwersytet),51.14050169536454,17.068475138483297,1,1,0,0,0,0,0,0,
262,Kowale,51.127909463745006,17.102404916462614,0,1,1,1,0,0,0,0,
263,Kozanów,51.137480723569354,16.968859808499722,0,1,1,1,0,0,0,0,
264,Kozanów (Dokerska),51.141220367073785,16.96403479408775,0,0,0,0,1,1,0,0,
265,Krakowska (Centrum Handlowe),51.09038855750975,17.064271103207957,0,0,1,0,1,1,0,0,
266,Kromera,51.13205230482232,17.065250678350605,0,0,0,0,0,0,0,0,
267,Krzyki,51.07480252089975,17.00689248884458,0,0,0,0,0,0,0,0,
268,Krzyżanowice,51.17715583276282,17.049786181779762,0,0,0,0,0,1,0,0,
269,Księże Małe,51.07749979333205,17.08374744124331,0,0,1,0,0,1,0,0,
270,Księże Wielkie,51.069834405541904,17.09753246976329,0,1,0,1,0,1,0,0,
271,Kuźniki,51.12368352802662,16.950555585340002,0,1,0,1,0,1,0,0,
272,Kuźniki (Stacja Kolejowa),,,0,1,0,0,0,0,0,0,
273,Kaczorowskiego,,,1,1,0,0,0,0,0,0,
274,Kadłub Nż,,,0,1,0,0,0,0,0,0,
275,Kadłub Wieś,,,0,1,1,1,0,0,0,0,
276,Kadłubka,,,0,1,1,1,0,1,0,0,
277,Kajdasza,,,0,1,1,1,0,1,0,0,
278,Kamienna,51.08563818869128,17.047235198199935,0,1,0,0,0,1,0,0,
279,Kamiennogórska (Ośrodek Dla Niewidomych),,,1,1,0,0,0,1,0,0,
280,Kamień - Bursztynowa,,,0,1,1,0,0,1,0,0,
281,Kamień - Diamentowa,,,0,1,0,0,0,0,0,0,
282,Kamień - Skrzy.,,,0,1,0,1,1,1,1,0,
283,Kamień - Skrzy. Diamentowa,,,0,0,0,1,1,1,0,0,
284,Kamień - Skrzy. Kryształowa,,,0,1,0,0,0,0,0,0,
285,Kamień - Skrzy. Rubinowa,,,0,1,0,1,1,0,0,0,
286,Kamieńskiego,51.140140242908146,17.03236611042412,0,0,1,1,1,1,0,0,
287,Kamieńskiego (Szpital),,,1,0,0,1,1,0,0,0,
288,Karwiany - Skrzy. (Wrocławska/Majowa),,,0,0,0,0,0,0,0,0,
289,Karwińska,,,0,1,1,1,0,0,0,0,
290,Karłowicza,51.1171125414428,17.086195917380074,0,0,0,0,0,0,0,0,
291,Kasprowicza,51.13793170102513,17.053687278383467,0,0,0,0,0,0,0,0,
292,Katedra,51.11387011620038,17.050503508469227,0,1,1,1,0,0,0,0,
293,Kiełczowska,51.14562852466403,17.136421437701294,0,1,1,1,0,0,0,1,
294,Kiełczowska (Cmentarz),,,1,1,1,1,0,0,0,0,
295,Kiełczów - Akacjowa,,,0,1,1,0,0,1,0,0,
296,Kiełczów - Biedronka,,,0,0,0,1,1,1,0,0,
297,Kiełczów - Boczna,,,0,0,0,1,1,1,0,0,
298,Kiełczów - Mleczna,,,0,0,0,1,0,0,0,0,
299,Kiełczów - Rzeczna,,,1,1,0,1,0,0,0,0,
300,Kiełczów - Sosnowa,,,0,1,0,0,0,0,0,0,
301,Kiełczów - Wodrol,,,0,0,1,1,0,0,0,0,
302,Kiełczów - Wrocławska,,,0,1,1,1,0,0,0,1,
303,Kiełczów - Zgodna,,,0,1,1,1,1,0,0,0,
304,Kiełczów - Cmentarz,,,0,0,0,0,0,0,0,0,
305,Kiełczów - Osiedle,,,0,0,0,0,0,0,0,1,
306,Kiełczów - Pętla (Plac Jana Gdaka),51.1395712334801,17.179011937155103,0,0,0,0,0,0,0,0,
307,Kiełczów - Pętla/Wrocławska,51.13942655458532,17.180034397026994,0,0,1,1,1,1,0,0,
308,Kiełczów - Ładna,,,1,0,1,1,1,1,0,0,
309,Kiełczówek,,,0,0,0,0,0,0,0,0,
310,Kiełczówek - Sielska Zagroda,,,0,1,0,0,0,0,0,0,
311,Kiełczówek - Pętla,,,0,1,0,0,0,0,0,0,
312,Kiełczówek - Skrzy. Imbirowa,,,0,1,0,0,0,0,0,0,
313,Klasztorna,,,1,1,1,1,1,1,0,0,
314,Kleczkowska,,,0,1,1,1,1,0,0,0,
315,Klimasa,51.08010766314827,17.062597838571428,0,1,1,1,1,0,1,0,
316,Kliniki - Politechnika Wrocławska,51.10949913417336,17.065624876082154,0,1,1,1,1,0,0,0,
317,Klęka,,,0,1,1,0,0,0,0,0,
318,Kmieca,,,0,1,1,0,0,0,0,0,
319,Kochanowskiego,,,0,1,1,1,1,0,0,0,
320,Kolbuszowska (Stadion),,,1,1,1,1,1,1,0,1,
321,Kolejowa,,,0,1,0,0,0,0,0,0,
322,Kolista,51.13296740780925,16.972784262779598,0,1,0,0,0,0,0,0,
323,Kolumba,,,0,1,0,0,1,1,0,0,
324,Komandorska,51.09222209106024,17.024009641375606,0,1,0,0,1,1,0,0,
325,Kominiarska,,,0,0,0,0,0,0,0,0,
326,Kominiarska (Plac Sportowy),,,1,0,0,1,0,1,0,0,
327,Komorowice,,,0,0,0,0,0,0,0,0,
328,Komuny Paryskiej,51.10194956465197,17.04636195972426,0,0,1,1,1,1,0,0,
329,Komuny Paryskiej (Szkoła),,,1,0,1,1,1,1,0,0,
330,Konduktorska,,,0,0,1,1,1,1,0,0,
331,Konopackiej,,,0,0,0,0,0,0,0,0,
332,Kopańskiego,,,0,1,0,1,0,0,0,0,
333,Kosmonautów (Szpital),51.14186071042686,16.905444430373958,1,1,0,1,0,0,0,0,
334,Koszarowa,,,1,1,0,1,0,1,0,0,
335,Kowale (Stacja Kolejowa),,,1,1,0,1,0,1,0,0,
336,Kowalska,,,1,1,1,0,0,1,0,0,
337,Kowalska 56,,,1,1,1,0,0,1,0,0,
338,Kowieńska,,,0,1,0,1,1,0,0,0,
339,Kozanowska,,,0,1,0,0,0,0,0,0,
340,Kozia,,,0,1,0,0,0,0,0,0,
341,Kołobrzeska,,,0,1,0,0,1,1,0,0,
342,Końcowa,,,0,1,1,0,0,0,0,1,
343,Kościelna,,,0,1,1,0,0,0,0,0,
344,Kościuszki,51.10014731114,17.045339713410495,0,1,0,0,1,1,0,0,
345,Kośnego (Jarnołtowska),,,0,1,0,0,1,1,0,0,
346,Kośnego (Jerzmanowska),,,0,1,0,0,0,0,0,0,
347,Krajobrazowa,,,0,1,0,0,0,0,0,0,
348,Krakowiany - Skrzy.,,,0,1,0,1,1,0,0,0,
349,Krakowska,,,0,1,0,1,1,0,0,0,
350,Krasińskiego,51.103443866848735,17.042268050675087,0,0,0,0,0,0,0,1,
351,Kromera (Czajkowskiego),,,0,1,0,0,0,0,0,0,
352,Krucza,,,0,1,0,0,0,0,0,0,
353,Krucza (Mielecka),,,0,1,0,0,0,0,0,0,
354,Krynicka,,,0,1,0,0,0,0,0,0,
355,Krzemieniecka,,,1,1,0,1,1,1,1,0,
356,Krzeptowska,,,1,1,0,1,1,1,0,0,
357,Krzeptów - Boisko,,,1,1,0,0,1,1,0,0,
358,Krzeptów - Dolina Krzeptowa,,,1,1,0,0,0,0,0,1,
359,Krzeptów - Pętla,51.09014060590896,16.880574238514203,0,0,1,0,0,0,0,0,
360,Krzeptów - Skrzy.,,,0,0,0,1,1,0,0,0,
361,Królewiecka,51.14572647815362,16.945251211760596,0,0,0,0,0,0,0,0,
362,Królewiecka (Park),,,0,1,1,0,1,1,0,0,
363,Królewiecka (Staw),,,0,1,1,0,1,1,0,0,
364,Królewska,,,0,1,1,1,1,1,0,0,
365,Krępice,,,0,1,1,1,1,1,0,0,
366,Krępice - Wrocławska,,,0,1,1,0,1,1,0,0,
367,Krępicka,,,0,0,0,1,1,0,0,0,
368,Krępicka - Szkoła,,,0,0,0,1,1,0,0,0,
369,Księginice PR,,,0,0,1,1,0,0,0,0,
370,Księginice Ul. Sportowa,,,0,0,0,0,0,0,0,0,
371,Księska,,,0,0,0,0,0,0,0,0,
372,Kurlandzka,,,0,0,1,1,1,1,0,0,
373,Kurpiów,,,0,0,1,1,1,1,0,0,
374,Kutrzeby,,,0,0,0,0,0,0,0,0,
375,Kwiatkowskiego,,,0,1,1,0,0,0,0,0,
376,Kwidzyńska,,,0,0,0,1,1,1,0,0,
377,Kwiska,,,0,0,0,0,0,0,0,0,
378,Kątna,,,0,0,0,0,0,0,0,0,
379,Kątowa,,,0,0,0,0,0,0,0,0,
380,Kębłowice,,,0,0,1,1,1,0,0,0,
381,Kępa Mieszczańska,51.1167858191892,17.024606828739973,0,0,1,1,1,0,0,0,
382,Kępińska,,,0,1,1,1,1,0,0,0,
383,Kętrzyńska,,,0,1,1,1,1,0,0,0,
384,Kłokoczyce,,,0,0,1,1,1,0,0,0,
385,Leśnica,,,0,0,0,0,0,0,0,0,
386,Litewska,,,0,0,0,0,0,0,0,0,
387,Litomska (Zus),,,0,1,1,1,0,0,0,0,
388,Las Mokrzański,,,0,0,0,0,0,0,0,0,
389,Las Osobowicki,,,0,0,0,1,1,1,0,0,
390,Las Ratyński,,,0,0,0,1,1,1,0,0,
391,Lawendowa,,,0,0,0,0,0,0,0,0,
392,Lekarska,,,1,1,1,1,1,1,0,0,
393,Leśnica - Hermes,,,1,1,1,1,1,1,0,0,
