Nazwa,X,Y,Szkola,Praca,Zakupy,Rozrywka,Restauracje,Spotkania,Zdrowie,Kultura,Osiedle
Lutynia I,,,0,1,1,1,0,0,0,0,
Lutynia Osiedle Ul. Wschodnia,,,0,1,1,1,0,0,0,0,
Lutynia Rondo,,,0,1,0,0,0,0,0,1,
Metalowców (Ośrodek Sportu),51.12973578662809,16.954963188328467,0,1,1,1,1,1,0,1,
Mińska (Rondo Rotm. Pileckiego),,,0,1,1,1,1,1,0,0,
Mokry Dwór,,,0,1,0,0,0,0,0,0,
Muchobór Mały (Stacja Kolejowa),51.11265047292736,16.970615488144727,0,1,0,0,0,0,0,0,
Mulicka,,,0,1,0,0,0,0,0,0,
Magellana,,,0,1,0,0,0,0,0,0,
Malinowa,,,0,1,0,1,1,0,0,0,
Malinowskiego,,,0,1,0,0,1,1,0,0,
Malwowa,,,0,1,0,0,0,0,0,0,
Marcepanowa,51.06208587691128,16.976158086228782,0,1,1,1,0,0,1,1,
Marchewkowa,,,0,1,1,1,0,0,0,0,
Marszowice,,,0,0,1,1,0,0,1,1,
Marszowicka,,,0,0,0,0,0,0,0,0,
Małkowice - Główna,,,0,0,0,0,0,0,0,0,
Małomicka,,,0,1,0,0,0,0,0,0,
Małopanewska,,,0,1,0,0,0,0,0,0,
Małopolska (Ośrodek Dla Niewidomych),,,1,1,0,1,1,1,1,0,
Maślice Małe (Brodnicka),,,0,1,1,1,1,1,0,0,
Maślicka (Osiedle),51.14759020226013,16.947711992295275,0,1,1,1,1,1,0,0,
Maślicka (Staw),,,0,1,1,1,1,1,0,1,
Metalowców,,,0,1,1,0,1,1,0,0,
Michalczyka,,,0,1,1,1,1,0,0,0,
Mickiewicza,51.10846583480433,17.072106782574494,0,0,0,1,1,0,0,0,
Mielecka,,,0,1,0,1,0,0,0,0,
Mikołowska,,,0,1,0,1,0,0,0,0,
Milenijna (Hala Orbita),51.132296096236104,16.989623317577895,0,1,0,1,1,1,1,0,
Milicka,,,0,1,1,1,0,0,0,0,
Miodowa,,,1,1,0,0,0,0,0,0,
Mirków - Jagiellońska,,,0,1,0,0,0,0,0,0,
Mirków - Kiełczowska (Na Wys. Nr 14),,,0,1,0,0,0,0,0,0,
Mirków - Sportowa,,,0,1,0,1,1,1,0,0,
Mirków - Skrzy. Polna,,,0,1,0,1,1,1,0,1,
Międzyrzecka,,,1,1,0,1,1,1,0,0,
Miękinia - Urząd Gminy,,,0,1,1,1,1,1,0,0,
Miękinia - Pętla,,,0,1,1,0,0,1,0,0,
Miękinia - Stacja Pkp,,,0,1,1,0,0,1,0,0,
Miękinia Cegielnia,,,0,0,0,0,0,0,0,0,
Miłoszycka,,,0,0,0,0,0,0,0,0,
Mochnackiego,,,1,1,1,1,1,0,0,0,
Modlińska,,,1,1,1,1,1,0,0,0,
Modra,,,1,1,1,1,1,0,0,1,
Mokra,,,0,0,0,0,0,0,0,0,
Mokronos Dolny - Parkowa/Stawowa,,,0,0,0,0,0,1,0,0,
Mokronos Dolny - Stawowa/Szczęśliwa,51.07129088645852,16.933217673506874,0,1,1,1,0,1,0,0,
Mokronos Górny - Wrocławska/Gwarna,,,0,1,1,1,0,1,0,0,
Mokry Dwór - Starodworska,,,0,1,1,1,0,0,0,0,
Mokrzańska,,,0,1,1,1,0,0,0,0,
Moniuszki,,,0,1,1,1,0,0,0,0,
Monopolowa,,,0,1,0,1,1,1,0,0,
Monte Cassino,,,0,1,0,1,1,1,0,0,
Morelowskiego,,,0,0,0,1,0,1,0,0,
Morwowa,,,0,0,1,1,0,0,0,0,
Mosty Pomorskie,,,0,0,1,1,1,0,0,0,
Mosty Warszawskie,51.12855975338448,17.055253000537665,1,1,1,0,0,1,0,0,
Mrozów - Wyzwolenia,,,1,1,1,0,0,1,0,0,
Mrozów - Świetlica,,,1,1,1,1,1,1,0,0,
Mroźna,,,0,1,0,1,0,1,0,0,
Muchobór Wielki,,,0,1,0,1,0,1,0,0,
Muchobór Wielki (Roślinna),,,0,1,0,1,1,1,0,0,
Młodych Techników,,,0,1,0,1,1,1,0,0,
Most Grunwaldzki,,,0,0,0,0,0,0,0,0,
Most Milenijny,,,0,0,0,0,0,0,0,0,
Most Osobowicki,,,0,1,0,0,0,1,0,0,
Na Grobli (Hydropolis),51.10468815529851,17.055508451861872,0,1,1,1,1,1,0,0,
Na Niskich Łąkach,51.09711899637683,17.0558074229239,0,1,1,1,1,1,0,0,
Na Ostatnim Groszu,51.12296172133449,16.975673525639053,1,1,0,0,0,0,0,0,
Na Szańcach,51.11907694103762,17.041994514950723,1,1,0,0,0,0,0,0,
Narodowe Forum Muzyki,51.10791524511627,17.02645107595523,0,0,0,0,1,1,0,0,
Niedziałkowskiego,,,0,0,0,0,1,1,1,0,
Niedźwiedzia,,,0,0,0,0,0,0,0,0,
Nowa Wieś Wr. - Relaksowa (Na Wys. Nr 13),,,1,1,1,1,1,1,0,0,
Nowa Wieś Wr. - Pętla,51.04553686705275,16.91851066574212,0,1,0,0,0,0,0,0,
Nowodworska,,,0,1,0,0,0,0,0,0,
Nowowiejska,,,0,1,1,1,1,1,0,0,
Nowy Dom,,,0,1,1,1,1,1,0,0,
Nyska,,,0,1,1,1,0,0,0,0,
Opatowice,,,0,1,0,0,0,0,0,0,
Oporów,51.084202287626624,16.971952098279854,0,1,0,0,0,0,0,1,
Osiedle Sobieskiego,,,0,1,0,0,1,1,0,0,
Osobowice,51.13771750449842,16.994030068915706,0,1,1,0,1,1,0,0,
Osobowicka (Cmentarz II),,,0,1,1,0,1,0,1,0,
Osobowicka (Cmentarz),,,0,0,0,0,0,0,0,0,
Obornicka (Obwodnica),,,0,0,0,0,0,0,0,0,
Obornicka (Wołowska),,,0,0,0,0,0,0,0,0,
Oboźna,,,0,0,0,1,1,0,0,0,
Odolanowska,,,,,,,,,,,
Odrodzenia Polski,,,,,,,,,,,
Ogród Botaniczny,,,,,,,,,,,
Ojca Beyzyma,51.090383945607755,16.992920642278534,,,,,,,,,
Okrzei,,,,,,,,,,,
Okólna,,,,,,,,,,,
Olbrachtowska,,,,,,,,,,,
Oleśniczka,,,,,,,,,,,
Oleśniczka - Skrzy.,,,,,,,,,,,
Olsztyńska,,,,,,,,,,,
Opatowicka Nr 127,,,,,,,,,,,
Opatowicka Nr 59,,,,,,,,,,,
Opatowicka Nr 85,,,,,,,,,,,
Opera,51.10559463309056,17.031985375703965,,,,,,,,,
Orla,,,,,,,,,,,
Orlińskiego,,,,,,,,,,,
Orzechowa,51.08316262649301,17.04077621896258,,,,,,,,,
Os. Przyjaźni,51.069432473503504,16.9970468407633,,,,,,,,,
Osiniecka,,,,,,,,,,,
Ossolineum (Uniwersytecka),,,,,,,,,,,
Ostowa (Muzeum Militarne),,,,,,,,,,,
Ostrowskiego,,,,,,,,,,,
Otyńska,,,,,,,,,,,
Owczarska,,,,,,,,,,,
Oławska,,,,,,,,,,,
Ołtaszyn,51.05703192549134,17.022484748130864,,,,,,,,,
Ożynowa,,,,,,,,,,,
Park Południowy,,,,,,,,,,,
Pawłowice (Widawska),,,,,,,,,,,
Petrusewicza,,,,,,,,,,,
Pilczyce,,,,,,,,,,,
Pl. Grunwaldzki,51.111517027190736,17.060180979663354,,,,,,,,,
Pl. Jana Pawła II,51.11180506996273,17.02128442141548,,,,,,,,,
Pl. Solidarności,51.11350350142072,17.017815665965703,,,,,,,,,
Pl. Staszica,51.12249449968118,17.03080553152348,,,,,,,,,
Polanowice,,,,,,,,,,,
Port Lotniczy,,,,,,,,,,,
Poświęcka (Ośrodek Zdrowia),,,,,,,,,,,
Poświętne,51.15020735526608,17.028719861391377,,,,,,,,,
Pracze Odrzańskie,51.17451143867945,16.906627556937504,,,,,,,,,
Pracze Odrzańskie (Stacja Kolejowa),,,,,,,,,,,
Pracze Widawskie,51.1776795066201,17.01559518171139,,,,,,,,,
Psie Pole (Stacja Kolejowa),51.15013675701918,17.11980945543448,,,,,,,,,
Palacha,,,,,,,,,,,
Paprotna,,,,,,,,,,,
Parafialna,,,,,,,,,,,
Park Biznesu,,,,,,,,,,,
Park Brochowski,,,,,,,,,,,
Park Popowicki,51.12623664694436,16.997552733182832,,,,,,,,,
Park Stabłowicki,51.15991585689947,16.893686956536804,,,,,,,,,
Park Staromiejski,51.10505348694456,17.037026591810104,,,,,,,,,
Park Szczytnicki,,,,,,,,,,,
Park Tysiąclecia,,,,,,,,,,,
Park Wschodni,,,,,,,,,,,
Park Zachodni,,,,,,,,,,,
Partynice (Tor Wyścigów Konnych),,,,,,,,,,,
Partyzantów,,,,,,,,,,,
Pasikurowice - Energetyczna,,,,,,,,,,,
Pasikurowice - Wrocławska (Na Wys. Nr 14),,,,,,,,,,,
Pasikurowice - Cmentarz,,,,,,,,,,,
Pasikurowice - N/Ż,,,,,,,,,,,
Pasikurowice - Skrzy. Malinowa,,,,,,,,,,,
Paulińska,,,,,,,,,,,
Pawłowice,,,,,,,,,,,
Pawłowicka,,,,,,,,,,,
Pereca,,,,,,,,,,,
Perzowa,,,,,,,,,,,
Pełczyńska (Stacja Kolejowa),,,,,,,,,,,
Piastowska,,,,,,,,,,,
Piecowice,,,,,,,,,,,
Pietrzykowice,,,,,,,,,,,
Pietrzykowice - Sportowa/Główna,,,,,,,,,,,
Pietrzykowice - Sportowa/Pętla,,,,,,,,,,,
Pietrzykowice - Wrocławska/Stawowa,,,,,,,,,,,
Pietrzykowice - Zakład,,,,,,,,,,,
Pilczycka (Anima),,,,,,,,,,,
Piołunowa,,,,,,,,,,,
Piramowicza (Kampus Biskupin),,,,,,,,,,,
Pisarzowice - Graniczna,,,,,,,,,,,
Pisarzowice - Kolejowa,,,,,,,,,,,
Pisarzowice - Odrzańska,,,,,,,,,,,
Pisarzowice - Szkolna,,,,,,,,,,,
Piwnika-Ponurego,,,,,,,,,,,
Piłsudskiego,,,,,,,,,,,
Pl. Hirszfelda,51.09432347670563,17.01703267874251,,,,,,,,,
Poczta Główna,,,,,,,,,,,
Pola,,,,,,,,,,,
Poleska,,,,,,,,,,,
Polkowicka,,,,,,,,,,,
Pomorska,,,,,,,,,,,
Poprzeczna,,,,,,,,,,,
Port Popowice,,,,,,,,,,,
Połabian,,,,,,,,,,,
Poświęcka,,,,,,,,,,,
Prudnicka,,,,,,,,,,,
Prusa,51.119829577762985,17.056552523078057,,,,,,,,,
Pruszowice,,,,,,,,,,,
Pruszowice - Las,,,,,,,,,,,
Przebiśniegowa,,,,,,,,,,,
Przedwiośnie (Stacja Kolejowa),,,,,,,,,,,
Przybyszewskiego,,,,,,,,,,,
Przybyły,,,,,,,,,,,
Przyjaźni,,,,,,,,,,,
Przystankowa,,,,,,,,,,,
Psary - Parkowa,,,,,,,,,,,
Psary - Szkoła,51.186667157671906,17.03178734475163,,,,,,,,,
Psary - Wolności,,,,,,,,,,,
Psie Pole,51.14572665756581,17.11128446376349,,,,,,,,,
Psie Pole (Gorlicka),,,,,,,,,,,
Psie Pole (Rondo Lotników Polskich),,,,,,,,,,,
Pustecka,,,,,,,,,,,
Pułaskiego,51.09824755336539,17.04298549994107,,,,,,,,,
Pułtuska,,,,,,,,,,,
Północna,,,,,,,,,,,
Płaska,,,,,,,,,,,
Pl. Bema,51.117112564381934,17.042098986701703,,,,,,,,,
Pl. Daniłowskiego,,,,,,,,,,,
Pl. Legionów,51.10457562944826,17.022080430396326,,,,,,,,,
Pl. Nowy Targ,51.11039457139414,17.03906804744376,,,,,,,,,
Pl. Orląt Lwowskich,51.10789956232348,17.02155001993996,,,,,,,,,
Pl. Srebrny,,,,,,,,,,,
Pl. Strzegomski (Muzeum Współczesne),,,,,,,,,,,
Pl. Strzelecki,,,,,,,,,,,
Pl. Wróblewskiego,51.10549831294692,17.047623033676672,,,,,,,,,
Pl. Zgody (Muzeum Etnograficzne),,,,,,,,,,,
Racławicka,51.07738133758759,16.98423984686341,,,,,,,,,
Ratyń,,,,,,,,,,,
Rod Bajki,,,,,,,,,,,
Rod Bielany,,,,,,,,,,,
Rod Mieczyk,,,,,,,,,,,
Rod Oświata,,,,,,,,,,,
Rod Pod Dębem,,,,,,,,,,,
Rod Storczyk,,,,,,,,,,,
Rod Zgoda,,,,,,,,,,,
Rod Źródło Zdrowia,,,,,,,,,,,
Rubczaka (Stacja Kolejowa),,,,,,,,,,,
Racławicka (Szkoła),,,,,,,,,,,
Radakowice - Świetlica,,,,,,,,,,,
Radio I Telewizja,,,,,,,,,,,
Rakowiecka,,,,,,,,,,,
Raków - Osiedle,,,,,,,,,,,
Raków - Skrzy.,,,,,,,,,,,
Raków I,,,,,,,,,,,
Raków II,,,,,,,,,,,
Raków III,,,,,,,,,,,
Raków IV,,,,,,,,,,,
Ramiszów,,,,,,,,,,,
Ramiszów Stacja,,,,,,,,,,,
Ratyń - Skrzyżowanie,,,,,,,,,,,
Rdestowa,,,,,,,,,,,
Redycka,,,,,,,,,,,
Reja,,,,,,,,,,,
Renoma,,,,,,,,,,,
Rodła,,,,,,,,,,,
Rogowska (Ośrodek Sportu),,,,,,,,,,,
Rogowska (P+R),51.11041205501294,16.955834134966512,,,,,,,,,
Rogowska (Ogrody Działkowe),,,,,,,,,,,
Rondo,51.09090331353238,17.017282576852956,,,,,,,,,
Rondo Obrońców Grodna,,,,,,,,,,,
Rubczaka,,,,,,,,,,,
Rymarska,,,,,,,,,,,
Rynek,,,,,,,,,,,
Rzemieślnicza,,,,,,,,,,,
Rzeplin - Al. Lipowa ,,,,,,,,,,,
Rzeplin - Pętla,,,,,,,,,,,
Różanka,,,,,,,,,,,
Rędzin,51.166152046195464,16.966729315557007,,,,,,,,,
Rędzińska,51.157394336626375,16.948874939787437,,,,,,,,,
Rędzińska (Cmentarz),,,,,,,,,,,
Rękodzielnicza,,,,,,,,,,,
Rondo Św. Ojca Pio,,,,,,,,,,,
Sołtysowice,51.15517403939835,17.06443321898258,,,,,,,,,
Spiska (Ośrodek Sportu),,,,,,,,,,,
Stabłowicka (Ośrodek Zdrowia),,,,,,,,,,,
Szymanów-Pętla,51.19699717554701,17.008996720109298,,,,,,,,,
Samotworska,,,,,,,,,,,
Samotwór - Dębowa,,,,,,,,,,,
Samotwór - Leśna,,,,,,,,,,,
Sanocka,,,,,,,,,,,
Semaforowa,,,,,,,,,,,
Serbska (C.K. Agora),,,,,,,,,,,
Serowarska,,,,,,,,,,,
Siedlec - Wrocławska/Sklep,,,,,,,,,,,
Siedlec - Wrocławska/Szkoła,,,,,,,,,,,
Siedlec - Skrzy. Osiedlowa,,,,,,,,,,,
Siedlec - Stacja,,,,,,,,,,,
Skarbowców,,,,,,,,,,,
Skarżyńskiego,,,,,,,,,,,
Skała - Wieś,,,,,,,,,,,
Skałka,,,,,,,,,,,
Skałka - Skrzy. Małkowice,,,,,,,,,,,
Skałka - Skrzy. W362,,,,,,,,,,,
Skierniewicka,,,,,,,,,,,
Smocza,,,,,,,,,,,
Smolec - Chłopska/Cisowa,,,,,,,,,,,
Smolec - Chłopska/Główna,,,,,,,,,,,
Smolec - Chłopska/Wrzosowa,,,,,,,,,,,
Smolec - Chłopska/Śliwkowa,,,,,,,,,,,
Smolec - Dębowa (Sklep),51.07693323559705,16.881546349691803,,,,,,,,,
Smolec - Główna (Na Wys. Nr 52),,,,,,,,,,,
Smolec - Główna (Na Wys. Nr 83),,,,,,,,,,,
Smolec - Główna/Dworcowa,,,,,,,,,,,
Smolec - Lipowa/Pętla,,,,,,,,,,,
Smolec - Wiśniowa,,,,,,,,,,,
Smolec - Wrocławska,,,,,,,,,,,
Smolecka,,,,,,,,,,,
Solskiego,,,,,,,,,,,
Sosnowiecka,,,,,,,,,,,
Sowia,,,,,,,,,,,
Sołtysowicka,,,,,,,,,,,
Spółdzielcza,,,,,,,,,,,
Stabłowice,,,,,,,,,,,
Stabłowicka,,,,,,,,,,,
Stadion Olimpijski,51.11692678010053,17.089962823203383,,,,,,,,,
Stalowa,,,,,,,,,,,
Stanisławowska (W.k. Formaty),,,,,,,,,,,
Stanki,,,,,,,,,,,
Starodworska,,,,,,,,,,,
Starodębowa,,,,,,,,,,,
Starościńska,,,,,,,,,,,
Stoszowska,,,,,,,,,,,
Strachowice General Aviation,,,,,,,,,,,
Strachowicka,51.12360835581646,16.917952216663636,,,,,,,,,
Strachowskiego,,,,,,,,,,,
Strumykowa,,,,,,,,,,,
Strzegomska (Muzeum Współczesne),,,,,,,,,,,
Strzegomska (Krzyżówka),,,,,,,,,,,
Strzegomska 148,,,,,,,,,,,
Stępin,51.20863776551389,17.28077988500212,,,,,,,,,
Stępin - Kościół,,,,,,,,,,,
Sucha,,,,,,,,,,,
Suchy Dwór - Skrzy. (Wrocławska/Główna),,,,,,,,,,,
Suchy Dwór - Skrzy. Mędłów,,,,,,,,,,,
Sudecka,,,,,,,,,,,
Suwalska,,,,,,,,,,,
Swojczyce,,,,,,,,,,,
Syrokomli,,,,,,,,,,,
Szczecińska,,,,,,,,,,,
Szczepin,,,,,,,,,,,
Szczodre - Szkoła,,,,,,,,,,,
Szczodre - Trzebnicka,,,,,,,,,,,
Szczodre - Trzebnicka (Na Wys. Nr 3A),,,,,,,,,,,
Szczodre - Pętla,51.19450054579013,17.182808878209627,,,,,,,,,
Szczodre - Stawy,,,,,,,,,,,
Szewczenki,,,,,,,,,,,
Szkocka,,,,,,,,,,,
Szkolna,,,,,,,,,,,
Szkoła Żerniki,51.12140080867286,16.925068679263013,,,,,,,,,
Sztabowa,,,,,,,,,,,
Szukalice,,,,,,,,,,,
Szybowcowa,,,,,,,,,,,
Szymanów,,,,,,,,,,,
Szymanów (Letnia),51.19515974461297,17.014789786824,,,,,,,,,
Szymanów (Widawska),,,,,,,,,,,
Szymanów - Skrzyż.,,,,,,,,,,,
Sąsiedzka,,,,,,,,,,,
Sępolno,51.11391087105509,17.10384448137332,,,,,,,,,
Słoneczna,,,,,,,,,,,
Słonimskiego,,,,,,,,,,,
Słowiańska,,,,,,,,,,,
Skwer Krasińskiego,,,,,,,,,,,
Tarczyński Arena (Królewiecka),,,,,,,,,,,
Tarnogaj,51.07818893886245,17.06431201270795,,,,,,,,,
Trestno (Pętla),,,,,,,,,,,
Tyniecka (Pętla),,,,,,,,,,,
Tarczyński Arena (Lotnicza),51.137258452112206,16.940790845709763,,,,,,,,,
Tarnogajska,,,,,,,,,,,
Tczewska,,,,,,,,,,,
Tokary - Centrum,,,,,,,,,,,
Tokary - Osiedle,,,,,,,,,,,
Topolowa,,,,,,,,,,,
Tramwajowa,,,,,,,,,,,
Trawowa,,,,,,,,,,,
Trestno - Kościół,,,,,,,,,,,
Trestno - Świetlica,,,,,,,,,,,
Trzebnicka,,,,,,,,,,,
Trzmielowicka,,,,,,,,,,,
Tunelowa,,,,,,,,,,,
Turoszowska,,,,,,,,,,,
Tymiankowa,,,,,,,,,,,
Tyniecka,,,,,,,,,,,
Tyrmanda,,,,,,,,,,,
Tęczowa,,,,,,,,,,,
Uniwersytet Dolnośląski Dsw,,,,,,,,,,,
Uniwersytet Ekonomiczny,51.089583237501394,17.02858971284679,,,,,,,,,
Uniwersytet Wrocławski,,,,,,,,,,,
Urząd Wojewódzki (Impart),,,,,,,,,,,
Urząd Wojewódzki (Muzeum Narodowe),,,,,,,,,,,
Vivaldiego,,,,,,,,,,,
Volvo,,,,,,,,,,,
Volvo - Brama II,,,,,,,,,,,
Wałbrzyska,,,,,,,,,,,
Wojnów (Pętla),51.09590525651294,17.16597507817714,,,,,,,,,
Wallenroda,,,,,,,,,,,
Waniliowa,,,,,,,,,,,
Wapienna,,,,,,,,,,,
Warmińska,,,,,,,,,,,
Wawrzyniaka,,,,,,,,,,,
Weigla (Szpital),,,,,,,,,,,
Wejherowska (Hala Orbita),,,,,,,,,,,
Wełniana,,,,,,,,,,,
Wiaduktowa,,,,,,,,,,,
Widawa,,,,,,,,,,,
Widna,,,,,,,,,,,
Wiejska,,,,,,,,,,,
Wielka,51.09393060478208,17.02085699282174,,,,,,,,,
Wielkopolska,,,,,,,,,,,
Wilczyce,,,,,,,,,,,
Wilczyce - Borowa,,,,,,,,,,,
Wilczyce - Dworska,,,,,,,,,,,
Wilczyce - Dębowa,,,,,,,,,,,
Wilczyce - Sosnowa,,,,,,,,,,,
Wilczyce - Wilczycka (Clarena),,,,,,,,,,,
Wilczyce - Wilczycka (Stary Młyn),,,,,,,,,,,
Wilczyce - Wrocławska (Na Wys. Nr 1F),,,,,,,,,,,
Wilczyce - Szkoła,,,,,,,,,,,
Wilkszyn (Pętla),51.19180144999823,16.862616599479313,,,,,,,,,
Wilkszyn - Miłoszyn,,,,,,,,,,,
Wilkszyn - Polna,,,,,,,,,,,
Wilkszyńska,,,,,,,,,,,
Wita Stwosza,,,,,,,,,,,
Witelona,,,,,,,,,,,
Witkowska,,,,,,,,,,,
Wiślańska,,,,,,,,,,,
Wiśniowa,,,,,,,,,,,
Wojanowska,,,,,,,,,,,
Wojnów,,,,,,,,,,,
Wojszyce,,,,,,,,,,,
Wojszycka,,,,,,,,,,,
Wolska,,,,,,,,,,,
Wołowska,,,,,,,,,,,
Wrocław Mikołajów (Zachodnia),,,,,,,,,,,
Wrocław Nowy Dwór (P+R),51.1199170288358,16.9524744209089,,,,,,,,,
Wrocław Popowice (17.Południk),,,,,,,,,,,
Wrocław Szczepin,,,,,,,,,,,
Wrocławski Park Przemysłowy,,,,,,,,,,,
Wrocławski Park Technologiczny,51.10556282783089,16.970760412109904,,,,,,,,,
Wróblowice,,,,,,,,,,,
Wróblowice Innowacyjna,,,,,,,,,,,
Wschowska,,,,,,,,,,,
Wysoka,,,,,,,,,,,
Wysoka - Chabrowa,,,,,,,,,,,
Wysoka - Lipowa,,,,,,,,,,,
Wysoka - Lipowa/Jeżynowa,,,,,,,,,,,
Wysoka - Lipowa/Parkowa,,,,,,,,,,,
Wysoka - Radosna,,,,,,,,,,,
Wysoka - Osiedle,,,,,,,,,,,
Wyszyńskiego,,,,,,,,,,,
Wyścigowa,,,,,,,,,,,
Wzgórze Partyzantów,,,,,,,,,,,
Węgrów (Na Wys. Nr 27),,,,,,,,,,,
Węgrów (Na Wys. Nr 7),,,,,,,,,,,
Zakrzów,51.16200367420869,17.12470310513678,,,,,,,,,
Zoo,,,,,,,,,,,
Zwycięska,51.05929245261485,17.011292403922248,,,,,,,,,
Zabrodzie - Pętla,51.05685864069994,16.945730473573253,,,,,,,,,
Zabór Mały,,,,,,,,,,,
Zabór Wielki,,,,,,,,,,,
Zacisze,,,,,,,,,,,
Zagony,,,,,,,,,,,
Zagrodnicza,,,,,,,,,,,
Zagłoby,,,,,,,,,,,
Zagłębiowska,,,,,,,,,,,
Zajazdowa,,,,,,,,,,,
Zajezdnia Borek,51.07861930214311,17.006993846840256,,,,,,,,,
Zajezdnia Gaj,,,,,,,,,,,
Zajezdnia Obornicka,,,,,,,,,,,
Zajezdnia Ołbin,,,,,,,,,,,
Zajączkowska,,,,,,,,,,,
Zakrzowska,,,,,,,,,,,
Zakładowa,,,,,,,,,,,
Zalewowa,,,,,,,,,,,
Zamkowa,,,,,,,,,,,
Zaolziańska,,,,,,,,,,,
Zaporoska,51.097177958558255,17.014573861349355,,,,,,,,,
Zaprężyn,,,,,,,,,,,
Zarembowicza,,,,,,,,,,,
Zbożowa,,,,,,,,,,,
Zemska,51.1157852614334,16.947166859648547,,,,,,,,,
Zgorzelisko,,,,,,,,,,,
Zielińskiego,,,,,,,,,,,
Zielna,,,,,,,,,,,
Ziemniaczana,,,,,,,,,,,
Zimowa,,,,,,,,,,,
Złotnicka,,,,,,,,,,,
Złotniki,51.13922760496478,16.892494937095062,,,,,,,,,
Złotostocka,,,,,,,,,,,
Ćwiczebna,,,,,,,,,,,
Łosice,,,,,,,,,,,
Łosice - Plac Zabaw,,,,,,,,,,,
Łososiowicka,,,,,,,,,,,
Łowęcice - Staw,,,,,,,,,,,
Łozina - Cmentarz,,,,,,,,,,,
Łozina - Kościół,,,,,,,,,,,
Łozina - Milicka/Poczta,,,,,,,,,,,
Łozina - Milicka/Szkoła,,,,,,,,,,,
Łozina - Nowego Osiedla I,,,,,,,,,,,
Łozina - Nowego Osiedla II,,,,,,,,,,,
Łozina - Wrocławska (Na Wys. Nr 18),,,,,,,,,,,
Łozina - Skrzy.,,,,,,,,,,,
Ługowa,,,,,,,,,,,
Łużycka,,,,,,,,,,,
Ślazowa,,,,,,,,,,,
Świdnicka (Dom Europy),,,,,,,,,,,
Świniary,51.19665224018954,16.97515183506888,,,,,,,,,
Śliczna,,,,,,,,,,,
Śliwice,,,,,,,,,,,
Śliwowa,,,,,,,,,,,
Ślusarska,,,,,,,,,,,
Ślęza - Dębowa,,,,,,,,,,,
Ślęza - Szyszkowa,,,,,,,,,,,
Ślęza - Autostrada,,,,,,,,,,,
Ślęza - Skrzyżowanie,,,,,,,,,,,
Śniadeckich,,,,,,,,,,,
Śnieżna,,,,,,,,,,,
Średzka,,,,,,,,,,,
Śrubowa,,,,,,,,,,,
Świdnicka,,,,,,,,,,,
Świeradowska,,,,,,,,,,,
Świstackiego,,,,,,,,,,,
Świt,,,,,,,,,,,
Świętokrzyska,,,,,,,,,,,
Źródła,,,,,,,,,,,
Żar,,,,,,,,,,,
Żelazna,,,,,,,,,,,
Żernicka,,,,,,,,,,,
Żerniki,,,,,,,,,,,
Żmigrodzka (Obwodnica),51.154205181053875,17.02841774328803,,,,,,,,,
Żmudzka,,,,,,,,,,,
Żurawiniec,,,,,,,,,,,
Żórawina - Niepodległości (Mostek),,,,,,,,,,,
Żórawina - Orange,,,,,,,,,,,
Żórawina - Wrocławska,,,,,,,,,,,
Żórawina - Kościół Św. Trójcy,,,,,,,,,,,
Żórawina - Osiedle,,,,,,,,,,,
Żórawina - Skrzy.,,,,,,,,,,,
Żórawina - Skrzy. Niepodległości,,,,,,,,,,,
8 Maja,51.11336855469333,17.090652628379562,,,,,,,,,
Biskupin,51.101156726871544,17.10878184625894,,,,,,,,,
Mokry Dwór,,,,,,,,,,,
Szewce - Topolowa/Kwiatowa,,,,,,,,,,,
Szewce - Wrocławska/Długa,,,,,,,,,,,
Szewce - Szkoła,,,,,,,,,,,
Szewce - Kościół,,,,,,,,,,,
Rzeplin - Al. Lipowa,,,,,,,,,,,
Raków - Skrzy.,,,,,,,,,,,
Borowa - Stacja Kolejowa,,,,,,,,,,,
Borowa - Szkoła,,,,,,,,,,,
Borowa - Skrzy.,,,,,,,,,,,
Stępin,,,,,,,,,,,
Stępin - Kościół,,,,,,,,,,,
