Nazwa,X,Y,Szkola,Praca,Zakupy,Rozrywka,Restauracje,Spotkania,Zdrowie,Kultura,Osiedle
Bujwida,51.11349209551047,17.067194488388004,0,1,0,1,1,1,0,0,
Bukowina,,,0,1,0,1,1,1,0,0,
Bukowina - Skrzy.,,,0,1,0,0,1,1,0,0,
Bukowskiego,,,0,1,0,0,1,1,0,0,
Bulwar Dedala,,,0,1,0,0,0,0,0,0,
Byków - Jaśminowa,,,0,1,0,0,0,0,0,0,
Byków - Ogrodowa,,,0,0,0,0,0,0,0,0,
Bystrzycka,,,0,0,0,0,0,0,0,0,
Bzowa (Centrum Historii Zajezdnia),,,0,0,0,0,0,0,0,0,
Bąków,,,0,0,0,0,0,0,0,0,
Błonie,,,0,1,1,1,1,1,0,0,
C.H. Aleja Bielany,51.04792328230276,16.961225593982483,0,1,1,1,1,1,0,0,
C.h. Korona,51.1419571122646,17.092981210400584,0,0,0,0,0,0,0,0,
Ceglana,,,0,0,0,0,0,0,0,0,
Cesarzowice Skrz.,,,0,0,0,0,0,0,0,0,
Chachaja,,,0,0,0,0,0,0,0,0,
Chełmońskiego,51.10381514447863,17.090812423137496,0,0,0,1,1,0,0,0,
Chińska,,,0,0,0,1,1,0,0,0,
Chociebuska (C. K. Nowy Pafawag),,,0,1,0,1,1,0,0,0,
Chopina,51.11685473637358,17.081731549359084,0,1,0,1,1,0,0,0,
Chwałkowska,,,0,1,0,0,0,0,0,0,
Chłodna,,,0,1,0,0,0,0,0,0,
Ciechocińska,,,0,1,0,0,0,0,0,0,
Cynamonowa,51.17596381345519,16.998301913759743,0,1,0,0,0,1,0,0,
Czajkowskiego,,,0,0,0,0,0,1,0,0,
Częstochowska,,,0,0,1,1,0,0,0,0,
DH Astra,51.12805420242871,16.976129736725355,0,0,1,1,0,0,0,0,
Dworzec Autobusowy,51.09729900567407,17.032717005635604,0,0,0,0,0,0,0,0,
Dworzec Główny,51.09991056706695,17.035898001055422,0,0,0,0,0,0,0,0,
Dworzec Nadodrze,51.12455339109722,17.035028614190917,0,0,0,0,0,0,0,0,
Damrota,,,0,0,0,0,0,0,0,0,
Daszyńskiego,51.126555244430754,17.04811148017275,0,0,0,0,0,0,0,0,
Dembowskiego (Kosiby),,,0,0,0,0,0,0,0,0,
Dobroszycka,,,0,0,0,0,0,0,0,0,
Dobroszów - Skrzy. Węgierska,,,1,1,1,0,0,0,0,0,
Dobroszów Oleśnicki,,,1,1,1,0,0,0,0,0,
Dolmed,,,0,0,0,0,0,0,0,0,
Dolnobrzeska,,,0,0,0,0,0,0,0,0,
Domaszczyn - Kościół,51.18806195344532,17.164896360316153,0,0,0,0,0,0,0,0,
Domaszczyn - Stawowa,,,0,1,1,1,1,0,0,0,
Domaszczyn - Trzebnicka,,,0,1,1,1,1,1,0,0,
Domaszczyn - Wrocławska Skrzyżowanie,,,0,1,1,1,1,1,0,0,
Domaszczyn - Wrocławska Sklep,,,0,1,0,1,1,1,0,0,
Domaszczyn - Skrzy.,,,0,1,0,1,1,1,0,0,
Drukarska,51.08992603209225,17.020808262939752,0,0,0,1,1,0,0,0,
Drzewieckiego,,,0,0,0,0,1,0,0,0,
Dubois,51.117176742277856,17.034137253809458,1,1,1,0,1,0,0,0,
Dworska,51.14354654875148,16.954555957282555,0,0,0,1,1,0,0,0,
Dworzec Główny (Dworcowa),,,0,1,1,1,1,1,0,0,
Dworzec Główny (Stawowa),,,0,1,1,1,1,1,0,0,
Dworzec Świebodzki,51.10891124958224,17.01813593209831,0,1,1,1,1,1,0,0,
Dyrekcyjna,51.09429978719772,17.032230222300967,0,0,0,0,0,0,0,0,
Działdowska,,,0,0,0,0,0,0,0,0,
Działkowa,,,0,0,0,0,0,0,0,0,
Dzielna,,,0,0,0,0,0,0,0,0,
Dąbrowica,,,0,0,0,0,0,0,0,0,
Długa (Ogrody Działkowe),,,0,1,0,1,0,0,0,0,
Długołęka - Broniewskiego (Na Wys. Nr 11),,,0,1,0,1,0,0,0,0,
Długołęka - Kasztanowa,,,0,1,1,1,0,0,0,0,
Długołęka - Kościół,,,0,0,1,1,0,0,0,0,
Długołęka - Nowy Urząd,,,0,0,1,0,1,1,0,0,
Długołęka - Parkowa Skrzy. Konopnicka,,,0,1,1,0,1,1,0,0,
Długołęka - Parkowa/Skrzy.,,,0,1,1,1,0,0,0,0,
Długołęka - Selgros Pętla,,,0,1,1,1,0,0,0,0,
Długołęka - Wiejska,,,0,1,1,1,0,0,0,0,
